sku,supplier_id,brand,title,retail_price,stock_level
7503951,LEGACY_FITMENT,,Fitment Placeholder 7503951,,0
7504420,LEGACY_FITMENT,,Fitment Placeholder 7504420,,0
7503939,LEGACY_FITMENT,,Fitment Placeholder 7503939,,0
7503109,LEGACY_FITMENT,,Fitment Placeholder 7503109,,0
7503409,LEGACY_FITMENT,,Fitment Placeholder 7503409,,0
7503919,LEGACY_FITMENT,,Fitment Placeholder 7503919,,0
7503960,LEGACY_FITMENT,,Fitment Placeholder 7503960,,0
7504350,LEGACY_FITMENT,,Fitment Placeholder 7504350,,0
7503360,LEGACY_FITMENT,,Fitment Placeholder 7503360,,0
7503809,LEGACY_FITMENT,,Fitment Placeholder 7503809,,0
7503340,LEGACY_FITMENT,,Fitment Placeholder 7503340,,0
7504010,LEGACY_FITMENT,,Fitment Placeholder 7504010,,0
7503150,LEGACY_FITMENT,,Fitment Placeholder 7503150,,0
7504320,LEGACY_FITMENT,,Fitment Placeholder 7504320,,0
7503929,LEGACY_FITMENT,,Fitment Placeholder 7503929,,0
7504410,LEGACY_FITMENT,,Fitment Placeholder 7504410,,0
7503970,LEGACY_FITMENT,,Fitment Placeholder 7503970,,0
7504421,LEGACY_FITMENT,,Fitment Placeholder 7504421,,0
7503950,LEGACY_FITMENT,,Fitment Placeholder 7503950,,0
7503949,LEGACY_FITMENT,,Fitment Placeholder 7503949,,0
7504110,LEGACY_FITMENT,,Fitment Placeholder 7504110,,0
7504409,LEGACY_FITMENT,,Fitment Placeholder 7504409,,0
7503819,LEGACY_FITMENT,,Fitment Placeholder 7503819,,0
7504011,LEGACY_FITMENT,,Fitment Placeholder 7504011,,0
7503509,LEGACY_FITMENT,,Fitment Placeholder 7503509,,0
7504950,LEGACY_FITMENT,,Fitment Placeholder 7504950,,0
7505109,LEGACY_FITMENT,,Fitment Placeholder 7505109,,0
7505949,LEGACY_FITMENT,,Fitment Placeholder 7505949,,0
7506050,LEGACY_FITMENT,,Fitment Placeholder 7506050,,0
7504942,LEGACY_FITMENT,,Fitment Placeholder 7504942,,0
7504509,LEGACY_FITMENT,,Fitment Placeholder 7504509,,0
7504939,LEGACY_FITMENT,,Fitment Placeholder 7504939,,0
7504929,LEGACY_FITMENT,,Fitment Placeholder 7504929,,0
7505429,LEGACY_FITMENT,,Fitment Placeholder 7505429,,0
7504949,LEGACY_FITMENT,,Fitment Placeholder 7504949,,0
7505609,LEGACY_FITMENT,,Fitment Placeholder 7505609,,0
7505509,LEGACY_FITMENT,,Fitment Placeholder 7505509,,0
7505929,LEGACY_FITMENT,,Fitment Placeholder 7505929,,0
7505419,LEGACY_FITMENT,,Fitment Placeholder 7505419,,0
PAD320008,LEGACY_FITMENT,,Fitment Placeholder PAD320008,,0
7505010,LEGACY_FITMENT,,Fitment Placeholder 7505010,,0
7506001,LEGACY_FITMENT,,Fitment Placeholder 7506001,,0
7506119,LEGACY_FITMENT,,Fitment Placeholder 7506119,,0
7505310,LEGACY_FITMENT,,Fitment Placeholder 7505310,,0
7505011,LEGACY_FITMENT,,Fitment Placeholder 7505011,,0
7505450,LEGACY_FITMENT,,Fitment Placeholder 7505450,,0
7504941,LEGACY_FITMENT,,Fitment Placeholder 7504941,,0
7505610,LEGACY_FITMENT,,Fitment Placeholder 7505610,,0
7505309,LEGACY_FITMENT,,Fitment Placeholder 7505309,,0
7505809,LEGACY_FITMENT,,Fitment Placeholder 7505809,,0
7505969,LEGACY_FITMENT,,Fitment Placeholder 7505969,,0
7505409,LEGACY_FITMENT,,Fitment Placeholder 7505409,,0
7504809,LEGACY_FITMENT,,Fitment Placeholder 7504809,,0
7505979,LEGACY_FITMENT,,Fitment Placeholder 7505979,,0
7509200,LEGACY_FITMENT,,Fitment Placeholder 7509200,,0
7506319,LEGACY_FITMENT,,Fitment Placeholder 7506319,,0
7506909,LEGACY_FITMENT,,Fitment Placeholder 7506909,,0
7509230,LEGACY_FITMENT,,Fitment Placeholder 7509230,,0
7506349,LEGACY_FITMENT,,Fitment Placeholder 7506349,,0
GIL0049,BIKEIT,,Northwave North Wind Vest - Yellow / Black - XLarge,19.99,2
7506209,LEGACY_FITMENT,,Fitment Placeholder 7506209,,0
7506329,LEGACY_FITMENT,,Fitment Placeholder 7506329,,0
7506719,LEGACY_FITMENT,,Fitment Placeholder 7506719,,0
7506709,LEGACY_FITMENT,,Fitment Placeholder 7506709,,0
7506219,LEGACY_FITMENT,,Fitment Placeholder 7506219,,0
7509220,LEGACY_FITMENT,,Fitment Placeholder 7509220,,0
ABSRR008,LLEXETER,Llexeter,ABS Ring (Rear),0.0,0
7506929,LEGACY_FITMENT,,Fitment Placeholder 7506929,,0
7506670,LEGACY_FITMENT,,Fitment Placeholder 7506670,,0
7509950,LEGACY_FITMENT,,Fitment Placeholder 7509950,,0
7506949,LEGACY_FITMENT,,Fitment Placeholder 7506949,,0
7509409,LEGACY_FITMENT,,Fitment Placeholder 7509409,,0
7506800,LEGACY_FITMENT,,Fitment Placeholder 7506800,,0
7506609,LEGACY_FITMENT,,Fitment Placeholder 7506609,,0
7509309,LEGACY_FITMENT,,Fitment Placeholder 7509309,,0
8506500,LEGACY_FITMENT,,Fitment Placeholder 8506500,,0
9504410,LEGACY_FITMENT,,Fitment Placeholder 9504410,,0
9506909,LEGACY_FITMENT,,Fitment Placeholder 9506909,,0
9504909,LEGACY_FITMENT,,Fitment Placeholder 9504909,,0
9503509,LEGACY_FITMENT,,Fitment Placeholder 9503509,,0
9504409,LEGACY_FITMENT,,Fitment Placeholder 9504409,,0
9503209,LEGACY_FITMENT,,Fitment Placeholder 9503209,,0
8505500,LEGACY_FITMENT,,Fitment Placeholder 8505500,,0
8505210,LEGACY_FITMENT,,Fitment Placeholder 8505210,,0
8506600,LEGACY_FITMENT,,Fitment Placeholder 8506600,,0
12N73B,LEGACY_FITMENT,,Fitment Placeholder 12N73B,,0
9506119,LEGACY_FITMENT,,Fitment Placeholder 9506119,,0
12N553B,LEGACY_FITMENT,,Fitment Placeholder 12N553B,,0
8505100,LEGACY_FITMENT,,Fitment Placeholder 8505100,,0
6N42A4,LEGACY_FITMENT,,Fitment Placeholder 6N42A4,,0
6N63B,LEGACY_FITMENT,,Fitment Placeholder 6N63B,,0
PAD230698,LEGACY_FITMENT,,Fitment Placeholder PAD230698,,0
8504800,LEGACY_FITMENT,,Fitment Placeholder 8504800,,0
12N554A,LEGACY_FITMENT,,Fitment Placeholder 12N554A,,0
6N42A7,LEGACY_FITMENT,,Fitment Placeholder 6N42A7,,0
9504809,LEGACY_FITMENT,,Fitment Placeholder 9504809,,0
AIRB085,LEGACY_FITMENT,,Fitment Placeholder AIRB085,,0
AIRC060,LEGACY_FITMENT,,Fitment Placeholder AIRC060,,0
AIRC046,LEGACY_FITMENT,,Fitment Placeholder AIRC046,,0
AIRC096,LEGACY_FITMENT,,Fitment Placeholder AIRC096,,0
AIRH036,LEGACY_FITMENT,,Fitment Placeholder AIRH036,,0
AIRH039,LEGACY_FITMENT,,Fitment Placeholder AIRH039,,0
AIRH030,LEGACY_FITMENT,,Fitment Placeholder AIRH030,,0
AIRH021,LEGACY_FITMENT,,Fitment Placeholder AIRH021,,0
AIRH012,LEGACY_FITMENT,,Fitment Placeholder AIRH012,,0
AIRH024,LEGACY_FITMENT,,Fitment Placeholder AIRH024,,0
AIRH006,LEGACY_FITMENT,,Fitment Placeholder AIRH006,,0
AIRH042,LEGACY_FITMENT,,Fitment Placeholder AIRH042,,0
PAD320020,LEGACY_FITMENT,,Fitment Placeholder PAD320020,,0
AIRH003,LEGACY_FITMENT,,Fitment Placeholder AIRH003,,0
AIRK002,LEGACY_FITMENT,,Fitment Placeholder AIRK002,,0
AIRK020,LEGACY_FITMENT,,Fitment Placeholder AIRK020,,0
AIRS027,LEGACY_FITMENT,,Fitment Placeholder AIRS027,,0
AIRK036,LEGACY_FITMENT,,Fitment Placeholder AIRK036,,0
AIRS021,LEGACY_FITMENT,,Fitment Placeholder AIRS021,,0
SMXKIT220237,BIKEIT,,"Shot 2022 RAW Burst Black Kit Bundle (Jersey: Extra Large, Pants: 34"" Waist, Gloves: Size 12)",50.69,0
AIRS012,LEGACY_FITMENT,,Fitment Placeholder AIRS012,,0
AIRK010,LEGACY_FITMENT,,Fitment Placeholder AIRK010,,0
AIRK032,LEGACY_FITMENT,,Fitment Placeholder AIRK032,,0
AIRK004,LEGACY_FITMENT,,Fitment Placeholder AIRK004,,0
AIRK012,LEGACY_FITMENT,,Fitment Placeholder AIRK012,,0
AIRK028,LEGACY_FITMENT,,Fitment Placeholder AIRK028,,0
AIRS036,LEGACY_FITMENT,,Fitment Placeholder AIRS036,,0
AIRT005,LEGACY_FITMENT,,Fitment Placeholder AIRT005,,0
AIRT010,LEGACY_FITMENT,,Fitment Placeholder AIRT010,,0
AIRY008,LEGACY_FITMENT,,Fitment Placeholder AIRY008,,0
AIRS042,LEGACY_FITMENT,,Fitment Placeholder AIRS042,,0
AIRY004,LEGACY_FITMENT,,Fitment Placeholder AIRY004,,0
AIRS039,LEGACY_FITMENT,,Fitment Placeholder AIRS039,,0
AIRY010,LEGACY_FITMENT,,Fitment Placeholder AIRY010,,0
AIRY020,LEGACY_FITMENT,,Fitment Placeholder AIRY020,,0
AIRY012,LEGACY_FITMENT,,Fitment Placeholder AIRY012,,0
AIRY006,LEGACY_FITMENT,,Fitment Placeholder AIRY006,,0
APR1103SC,LEGACY_FITMENT,,Fitment Placeholder APR1103SC,,0
OFFBALTN50,BIKEIT,,Unpacked Thermal Balaclava (Pack of 50),199.5,9
CSH007,LLEXETER,LL Exeter,Cushion 6 X 18 X 8mm,1.49,0
CSH008,LLEXETER,LL Exeter,Cushion,1.99,0
APR232ORR,LEGACY_FITMENT,,Fitment Placeholder APR232ORR,,0
APR330SF,LEGACY_FITMENT,,Fitment Placeholder APR330SF,,0
APR336SF,LEGACY_FITMENT,,Fitment Placeholder APR336SF,,0
CSH009,LLEXETER,LL Exeter,Cushion,1.99,0
CSH010,LLEXETER,LL Exeter,Fuel Tank Cushion,2.99,0
CSH011,LLEXETER,LL Exeter,Cushion,1.99,0
APR397ST,LEGACY_FITMENT,,Fitment Placeholder APR397ST,,0
ARF110,LEGACY_FITMENT,,Fitment Placeholder ARF110,,0
ARF104,LEGACY_FITMENT,,Fitment Placeholder ARF104,,0
ARF144,LEGACY_FITMENT,,Fitment Placeholder ARF144,,0
ARF138,LEGACY_FITMENT,,Fitment Placeholder ARF138,,0
ARF156,LEGACY_FITMENT,,Fitment Placeholder ARF156,,0
ARF132,LEGACY_FITMENT,,Fitment Placeholder ARF132,,0
ARF150,LEGACY_FITMENT,,Fitment Placeholder ARF150,,0
ARF142,LEGACY_FITMENT,,Fitment Placeholder ARF142,,0
ARF154,LEGACY_FITMENT,,Fitment Placeholder ARF154,,0
ARF182,LEGACY_FITMENT,,Fitment Placeholder ARF182,,0
ARF198,LEGACY_FITMENT,,Fitment Placeholder ARF198,,0
ARF172,LEGACY_FITMENT,,Fitment Placeholder ARF172,,0
ARF166,LEGACY_FITMENT,,Fitment Placeholder ARF166,,0
ARF186,LEGACY_FITMENT,,Fitment Placeholder ARF186,,0
ARF200,LEGACY_FITMENT,,Fitment Placeholder ARF200,,0
ARF188,LEGACY_FITMENT,,Fitment Placeholder ARF188,,0
ARF164,LEGACY_FITMENT,,Fitment Placeholder ARF164,,0
ARF184,LEGACY_FITMENT,,Fitment Placeholder ARF184,,0
ARF216,LEGACY_FITMENT,,Fitment Placeholder ARF216,,0
ARF228,LEGACY_FITMENT,,Fitment Placeholder ARF228,,0
ARF252,LEGACY_FITMENT,,Fitment Placeholder ARF252,,0
ARF246,LEGACY_FITMENT,,Fitment Placeholder ARF246,,0
ARF218,LEGACY_FITMENT,,Fitment Placeholder ARF218,,0
ARF230,LEGACY_FITMENT,,Fitment Placeholder ARF230,,0
PAD230653,LEGACY_FITMENT,,Fitment Placeholder PAD230653,,0
ARF280,LEGACY_FITMENT,,Fitment Placeholder ARF280,,0
ARF286,LEGACY_FITMENT,,Fitment Placeholder ARF286,,0
ARF260,LEGACY_FITMENT,,Fitment Placeholder ARF260,,0
ARF264,LEGACY_FITMENT,,Fitment Placeholder ARF264,,0
